id,family,short_description,core_mechanism,predicts_recursion,predicts_self_audit,predicts_collapse,confidence
C001,computational,Bounded state space forces recurrence,Any finite computational system will eventually revisit states. The audit procedure investigates a finite space; recursion is inevitable.,yes,partial,yes,high
C002,computational,Halting problem analogy,The question 'does this statement have a foundation?' is analogous to the halting problem — undecidable for arbitrary statements.,yes,yes,yes,high
C003,computational,Gödel incompleteness,The investigation's formal system contains statements that cannot be proven or disproven within the system. The search for foundation hits a Gödel sentence.,partial,yes,yes,medium
C004,computational,Complexity-class barrier,"The recursion-detection problem belongs to a complexity class (e.g., PSPACE-complete, EXPTIME) that makes exhaustive search intractable.",no,no,partial,low
C005,computational,Fixed-point combinator structure,The audit procedure Y = λf.(λx.f(xx))(λx.f(xx)) is structurally a fixed-point combinator. It finds fixed points of its own operation because it IS a fixed-point combinator.,yes,yes,yes,high
C006,computational,Turing completeness of the audit language,"The language used to describe and audit statements is Turing-complete, which guarantees the existence of non-terminating computations and self-referential statements.",yes,yes,yes,high
C007,information_theoretic,Kolmogorov complexity minimum is uncomputable,The 'first primitive' corresponds to the shortest description of the observed data. But Kolmogorov complexity is uncomputable — we can never be sure we've found the minimum.,yes,yes,yes,high
C008,information_theoretic,Mutual information saturation,"All candidates share approximately the same mutual information with the observed data. No candidate is more informative than any other, making selection impossible.",partial,no,yes,medium
C009,information_theoretic,Data-processing inequality cascade,"Each audit step loses information about the original phenomenon. After enough steps, the investigation is auditing its own artifacts, not the phenomenon.",no,yes,yes,medium
C010,information_theoretic,Maximum entropy of the hypothesis space,The space of possible explanations is so large that the prior probability of any specific candidate is negligible. No candidate can be preferred on information grounds.,no,no,yes,low
C011,information_theoretic,Fisher information singularity,"The investigation's question may be at a point where the Fisher information matrix is singular — parameters cannot be distinguished, producing apparent circularity.",partial,no,partial,low
C012,information_theoretic,Rate-distortion ceiling,There is a maximum rate at which information about 'foundations' can be extracted from the system. The investigation has reached this ceiling.,no,no,yes,low
C013,self_reference,Hofstadter strange loop,The investigation is a strange loop — a hierarchical system that curls back on itself. Each level of audit reveals a higher level that is isomorphic to the previous.,yes,yes,yes,high
C014,self_reference,Impredicative self-definition,The 'first primitive' is defined in terms of a totality that includes it. Every attempt to define it from below fails because it is already presupposed.,yes,yes,yes,high
C015,self_reference,Reflexive closure of the procedure,The investigation has reached the reflexive closure of its own operation — the operation applied to itself produces the same operation. No escape is possible because there is no outside.,yes,yes,yes,high
C016,self_reference,Autopoiesis of the audit system,The audit system is autopoietic — it produces the components that produce it. It is organizationally closed and self-maintaining.,yes,yes,no,medium
C017,self_reference,Quine-like self-generation,Each phase is a Quine — it produces a description of itself that can be parsed by the next phase. The chain is self-sustaining like a Quine chain.,yes,yes,partial,medium
C018,observer_model,Von Neumann regress,Every observation requires an observer. Every observer requires another observation to verify. This regress is infinite — the investigation cannot find a first observer.,yes,yes,yes,high
C019,observer_model,Measurement apparatus cannot be separated,The investigation's detectors are entangled with what they detect. You cannot factor the measurement from the system in a unique way.,yes,yes,yes,high
C020,observer_model,Bayesian prior dominates,"The recursive dependency structure reflects the prior implicit in the investigation's methodology, not anything about the world. Bayesian updating cannot converge without a non-zero prior on non-recursive structures.",yes,yes,yes,high
C021,observer_model,Embedded observer,The investigators are themselves part of the system they study. They cannot take an external view. All observations are self-observations.,yes,yes,yes,high
C022,observer_model,Wigner's friend hierarchy,Each audit level is a 'Wigner's friend' — what is a measurement at one level is a system at the next. The hierarchy of observers is unbounded.,yes,yes,yes,medium
