domain,failure,mode,mode_label,type,triggers
A — Physical universes,Heat death (max entropy),LG,Loss of generativity — system stops producing novel structures,Asymptotic approach,Time → ∞; or initial low-entropy condition not present
A — Physical universes,Big crunch (recollapse),LP,Loss of persistence — system ceases to exist or maintain structure,Bounded trajectory,"Ω >> 1, or dark energy insufficient"
A — Physical universes,Empty expansion (no structure),LG,Loss of generativity — system stops producing novel structures,Runaway,"Ω << 1, or dark energy dominant too early"
A — Physical universes,Vacuum decay / false vacuum collapse,LP,Loss of persistence — system ceases to exist or maintain structure,Phase transition,Higgs metastability; or new physics beyond Standard Model
A — Physical universes,Chaotic inflation / measure problem,FR,Fragmentation — parts do not fit together or refer to different domains,Fragmentation,Inflationary potential allows eternal inflation
A — Physical universes,Loss of arrow of time (no entropy gradient),LD,Loss of differentiation — everything becomes indistinguishable,Loss of direction,Initial conditions at equilibrium
A — Physical universes,Mathematical inconsistency in fundamental laws,CC,Contradiction / inconsistency — internal conflict destroys coherence,Contradiction,String landscape constraints; swampland conditions
A — Physical universes,Strong CP violation / matter-antimatter asymmetry failure,FR,Fragmentation — parts do not fit together or refer to different domains,Fragmentation,CP-violating phase too small; or baryon-number violation absent
A — Physical universes,Decoherence without localized structures,LD,Loss of differentiation — everything becomes indistinguishable,Loss of differentiation,No mechanism for structure formation from decoherence alone
A — Physical universes,Black hole information loss,LR,"Loss of recoverability — perturbation is permanent, no return to viability",Loss of recoverability,Hawking evaporation without information retrieval
B — Mathematical systems,Inconsistency (ex contradictione quodlibet),CC,Contradiction / inconsistency — internal conflict destroys coherence,Collapse,Self-reference without containment (naive comprehension); inconsistent axioms
B — Mathematical systems,Triviality via over-generation,CT,"Collapse into triviality — system becomes vacuous, empty, or meaningless",Collapse into triviality,Too-powerful comprehension; inconsistent type assignment
B — Mathematical systems,Gödelian incompleteness (self-reference limit),LG,Loss of generativity — system stops producing novel structures,Generativity bound,Sufficient expressive power to encode arithmetic + self-reference
B — Mathematical systems,Halting problem / undecidability barrier,LG,Loss of generativity — system stops producing novel structures,Generativity bound,Sufficient computational power (Turing-completeness)
B — Mathematical systems,Tarski's undefinability of truth,FR,Fragmentation — parts do not fit together or refer to different domains,Fragmentation,Expressive power sufficient for self-reference
B — Mathematical systems,"Set-theoretic paradox (Russell, Burali-Forti)",CC,Contradiction / inconsistency — internal conflict destroys coherence,Contradiction,Naive comprehension axiom; collection of all sets of a certain type
B — Mathematical systems,Loss of well-foundedness / infinite descent,RD,"Runaway divergence — uncontrolled growth, explosion, or infinite regress",Runaway,Anti-foundation axiom (AFA) or non-well-founded sets
B — Mathematical systems,Categorical collapse (every category is a preorder),LD,Loss of differentiation — everything becomes indistinguishable,Loss of differentiation,Too-stringent constraints; forcing triviality of Hom-sets
B — Mathematical systems,Fixed-point inconsistency in λ-calculus,RD,"Runaway divergence — uncontrolled growth, explosion, or infinite regress",Runaway,Self-application (ω = λx.xx); fixed-point combinators
B — Mathematical systems,Loss of canonicity / normalization failure,LR,"Loss of recoverability — perturbation is permanent, no return to viability",Loss of recoverability,Impredicativity without termination measure; non-well-founded recursion
C — Recursive substrate,Knockout of CD1 (Causal relations exist),FR,Fragmentation — parts do not fit together or refer to different domains,Partial fragmentation,Removal of CD1; all dependents lose support
C — Recursive substrate,Knockout of EC1 (Self-knowledge),FR,Fragmentation — parts do not fit together or refer to different domains,Partial fragmentation,Removal of EC1; all dependents lose support
C — Recursive substrate,Knockout of IC1 (Extractable information),FR,Fragmentation — parts do not fit together or refer to different domains,Partial fragmentation,Removal of IC1; all dependents lose support
C — Recursive substrate,Knockout of IS1a (Investigative change),LG,Loss of generativity — system stops producing novel structures,Dependency collapse,Removal of IS1a; all dependents lose support
C — Recursive substrate,Knockout of IS2 (Determinate outputs),FR,Fragmentation — parts do not fit together or refer to different domains,Partial fragmentation,Removal of IS2; all dependents lose support
C — Recursive substrate,Knockout of OC1 (Stable structure),LG,Loss of generativity — system stops producing novel structures,Dependency collapse,Removal of OC1; all dependents lose support
C — Recursive substrate,Knockout of OC2 (Distinguishability),LP,Loss of persistence — system ceases to exist or maintain structure,Dependency collapse,Removal of OC2; all dependents lose support
C — Recursive substrate,Knockout of SR1 (Self-examination of outputs),FR,Fragmentation — parts do not fit together or refer to different domains,Partial fragmentation,Removal of SR1; all dependents lose support
C — Recursive substrate,Bootstrap deadlock (IS1↔IS2 cycle in original substrate),CC,Contradiction / inconsistency — internal conflict destroys coherence,Contradiction / cycle,Bidirectional or cyclic dependency in directed acyclic dependency structure
