candidate,original_family,original_mechanism,normalized_mechanism
C001,computational,Any finite computational system will eventually revisit states. The audit procedure investigates a finite space; recursion is inevitable.,"A system with finite degrees of freedom will eventually occupy a previously occupied state, producing apparent structure from mere boundedness."
C002,computational,The question 'does this statement have a foundation?' is analogous to the halting problem — undecidable for arbitrary statements.,A system cannot determine whether an arbitrary property holds of its own behavior using only its own resources; the question is undecidable from within.
C003,computational,The investigation's formal system contains statements that cannot be proven or disproven within the system. The search for foundation hits a Gödel sentence.,A system of sufficient expressiveness contains statements that cannot be proved or disproved using the system's own rules; these statements appear as unresolvable recursion.
C004,computational,"The recursion-detection problem belongs to a complexity class (e.g., PSPACE-complete, EXPTIME) that makes exhaustive search intractable.","The computational resources required to analyze the system exceed what is available; the search terminates in resource exhaustion, not in a finding."
C005,computational,The audit procedure Y = λf.(λx.f(xx))(λx.f(xx)) is structurally a fixed-point combinator. It finds fixed points of its own operation because it IS a fixed-point combinator.,The procedure is structurally a fixed-point finder; when applied to itself it finds itself as its own fixed point.
C006,computational,"The language used to describe and audit statements is Turing-complete, which guarantees the existence of non-terminating computations and self-referential statements.",A language capable of expressing arbitrary computation guarantees the existence of non-terminating self-referential expressions; the recursion is a consequence of expressiveness.
C007,information_theoretic,The 'first primitive' corresponds to the shortest description of the observed data. But Kolmogorov complexity is uncomputable — we can never be sure we've found the minimum.,The minimum description length of a system is uncomputable; the search for a shortest explanation cannot terminate with certainty.
C008,information_theoretic,"All candidates share approximately the same mutual information with the observed data. No candidate is more informative than any other, making selection impossible.",All candidates carry approximately the same information about the target; no structural basis exists for selecting among them.
C009,information_theoretic,"Each audit step loses information about the original phenomenon. After enough steps, the investigation is auditing its own artifacts, not the phenomenon.","Each processing step irreversibly loses information about the original target; after sufficient steps the investigation operates on its own artifacts, not the phenomenon."
C010,information_theoretic,The space of possible explanations is so large that the prior probability of any specific candidate is negligible. No candidate can be preferred on information grounds.,The space of possible explanations is so large that every candidate has negligible prior probability; no candidate can be preferred on probabilistic grounds.
C011,information_theoretic,"The investigation's question may be at a point where the Fisher information matrix is singular — parameters cannot be distinguished, producing apparent circularity.",The system's parameters are locally indistinguishable at the point of investigation; apparent structure arises from a singularity in the distinguishability metric.
C012,information_theoretic,There is a maximum rate at which information about 'foundations' can be extracted from the system. The investigation has reached this ceiling.,There is an upper bound on the information extractable from the system; the investigation has reached this bound and cannot obtain further discriminating information.
C013,self_reference,The investigation is a strange loop — a hierarchical system that curls back on itself. Each level of audit reveals a higher level that is isomorphic to the previous.,"The system's hierarchical levels curl back on themselves; each level when examined fully reveals the structure of the level above, which is isomorphic to itself."
C014,self_reference,The 'first primitive' is defined in terms of a totality that includes it. Every attempt to define it from below fails because it is already presupposed.,The target is defined in terms of the totality it belongs to; every attempt to reach it from below fails because it is presupposed by the reach.
C015,self_reference,The investigation has reached the reflexive closure of its own operation — the operation applied to itself produces the same operation. No escape is possible because there is no outside.,The operation applied to its own output yields the same operation; no outside of the operation exists from which to observe or modify it.
C016,self_reference,The audit system is autopoietic — it produces the components that produce it. It is organizationally closed and self-maintaining.,"The system produces the components that produce it; it is organizationally closed and self-sustaining, not derivable from external foundations."
C017,self_reference,Each phase is a Quine — it produces a description of itself that can be parsed by the next phase. The chain is self-sustaining like a Quine chain.,Each phase of the investigation produces a description that serves as the input for the next phase; the chain is self-sustaining without external reference.
C018,observer_model,Every observation requires an observer. Every observer requires another observation to verify. This regress is infinite — the investigation cannot find a first observer.,Every determination requires a determiner; every determiner requires a prior determination; this regress has no first term accessible from within the regress.
C019,observer_model,The investigation's detectors are entangled with what they detect. You cannot factor the measurement from the system in a unique way.,The instrument of determination cannot be separated from what is determined; any attempt to isolate one changes the other.
C020,observer_model,"The recursive dependency structure reflects the prior implicit in the investigation's methodology, not anything about the world. Bayesian updating cannot converge without a non-zero prior on non-recursive structures.","The result of the investigation reflects the assumptions built into the method, not properties of the target; changing the assumptions would change the result."
C021,observer_model,The investigators are themselves part of the system they study. They cannot take an external view. All observations are self-observations.,The investigator is part of the investigated system; every determination is a self-determination and cannot achieve external reference.
C022,observer_model,Each audit level is a 'Wigner's friend' — what is a measurement at one level is a system at the next. The hierarchy of observers is unbounded.,What counts as determiner at one level counts as determined at the next; the levels are unbounded and no ground level can be reached.
C023,observer_model,"If the only evidence available is the structure of the investigation itself, the optimal Bayesian explanation is 'nothing exists outside the investigation.' The recursion is a consequence of sensory deprivation.","When the only available data is the structure of the investigation itself, the optimal inference is that nothing outside the investigation exists; the recursion is self-confirmation."
C024,language_structure,"The language of the investigation (mathematics, formal logic) imposes a structure that appears as 'recursive dependency' but is actually just the grammar of the language. Different languages would find different structures.",The descriptive framework imposes structural patterns that appear as properties of the described; a different framework would find different patterns.
C025,language_structure,Every term is defined in terms of other terms. There is no bottom level of definition. The recursion is not a discovery — it is a property of definitional systems.,Every term is defined through other terms; there is no bottom layer of primitive definitions from which all others derive.
