source_id,citation,constant,bound_type,bound_low,bound_high,observed_value,bound_as_fraction,life_criterion,tier,variation,methodology,confidence,contested_by,notes
3,Barrow & Tipler 1986,alpha,two-sided,0.001,0.1,0.007297,"Δα range: ~0.001–0.1",Stable chemistry (atomic binding),1,OaA,Analytic — binding energy vs pair-production threshold,Firm,None,Upper bound from e+e- pair production; lower bound from molecular binding strength
12,Livio et al. 1989,alpha,two-sided,0.007005,0.007589,0.007297,"α ∈ [0.96α₀, 1.04α₀] = ±4%",Carbon production (C/O > 0.1),3,OaA,"Stellar nucleosynthesis network (triple-alpha, Hoyle state)",Moderate,None,Most commonly cited α bound for Tier 3; symmetric but asymmetry not fully tested
19,Adams 2019,alpha,upper,-,0.1,0.007297,"Δα/α < ~10%",Long-lived stars (pp-chain rate),2,OaA,Stellar structure models,Moderate,None,"Compiles multiple independent bounds; exact range depends on required stellar properties"
45,Page 2009,alpha,two-sided,-,-,0.007297,"Consistent with typical range",Stars and galaxies form,2,OaA,Bayesian with uniform log prior,Moderate,None,"Updates Carter-Carr-Rees analysis; observed value is typical within life-permitting range"
3,Barrow & Tipler 1986,alpha_s,two-sided,0.06,0.24,0.1179,"Δαs range: ~0.06–0.24",Stable deuteron for nucleosynthesis,1,OaA,Analytic — nucleon-nucleon potential,Firm,19 (Adams 2019: alternative fusion),Lower bound from no bound deuteron; upper bound from no diproton stability
12,Livio et al. 1989,alpha_s,upper,-,0.005,0.1179,"Δαs/αs < 0.5% for C/O > 0.1",Carbon production (C/O > 0.1),3,OaA,"Stellar nucleosynthesis network (triple-alpha, Hoyle state)",Moderate,17 (MacDonald & Mullan 2009: challenges carbon-specific bound),Narrowest quantitative anthropic bound in literature
12,Livio et al. 1989,alpha_s,upper,-,0.01,0.1179,"Δαs/αs < 1% for C+O survival",Both C and O survive nucleosynthesis,3,OaA,Stellar nucleosynthesis network,Moderate,None,Less stringent than the 0.5% carbon bound
13,Oberhummer et al. 2000,alpha_s,upper,-,0.005,0.1179,"Δαs/αs < 0.5% for C/O > 0.1",Carbon production (C/O > 0.1),3,OaA,Nuclear reaction network for helium burning,Moderate,17 (MacDonald & Mullan 2009),"Hoyle state energy must be within 0.06 MeV of 7.656 MeV; confirms Livio bound"
17,MacDonald & Mullan 2009,alpha_s,upper,-,0.5,0.1179,"Δαs/αs < ~50% for H survival",Hydrogen survival after BBN,1,OaA,"Full BBN network calculation with varied αs",Moderate,47 (Davies 1993: 2% claim contested),Direct refutation of diproton catastrophe claim
47,Davies 1993,alpha_s,upper,-,0.02,0.1179,"Δαs/αs < ~2%",Hydrogen survival (no water if H consumed),1,OaA,Nuclear binding energy arguments,Low,"17 (MacDonald & Mullan 2009: BBN simulation shows 50%)","Most cited popular claim; directly refuted by MacDonald & Mullan (2009)"
19,Adams 2019,alpha_s,upper,-,0.005,0.1179,"Δαs/αs < 0.5% for ⁴He mass",Nuclear stability (mass ordering of light nuclei),1,OaA,Nuclear binding energy calculations,Firm,"9 (Penrose: entropy bound unrelated), 17 (MacDonald & Mullan: H can survive)","⁴He becomes lighter than ³He above threshold; significance for life disputed"
12,Livio et al. 1989,alpha_AND_alpha_s,multi-parameter,0.007005,0.11849,0.007297/0.1179,"Δα/α ±4% AND Δαs/αs ±0.5%",Carbon production (C/O > 0.1),3,Multi-parameter,Stellar nucleosynthesis network with joint α-αs variation,Weak,24 (Damour & Donoghue: correlation changes effective constraint),"Joint variation space under-sampled; α and αs assumed independent (likely false in GUTs)"
19,Adams 2019,mu_e_over_m_p,two-sided,5.45e-5,0.00545,0.0005446,"μ ∈ [5.45e-5, 0.00545] ≈ factor 100",Stellar opacity and pp-chain rate,2,OaA,Stellar structure models,Weak,None,"Qualitative estimate; no precise peer-reviewed threshold"
3,Barrow & Tipler 1986,mu_e_over_m_p,upper,-,0.42,0.0005446,"μ < 0.42",Chandrasekhar limit for stellar stability,1,OaA,"Analytic — degenerate electron pressure",Firm,None,"Robust physics but so wide (μ < 0.42) that it provides essentially no anthropic constraint"
4,Carr & Rees 1979,mu_e_over_m_p,upper,-,0.01,0.0005446,"μ < ~0.01",Chemical reactions possible (molecular binding),1,OaA,Qualitative physical reasoning,Weak,None,"No quantitative simulation; order-of-magnitude estimate only"
-,GAP IN LITERATURE,mu_e_over_m_p,no_bound,-,-,0.0005446,"No bound exists",Complex molecular chemistry (Tier 3),3,NA,NA,NA,NA,"Genuine gap in the fine-tuning literature. μ appears in popular claims but has no published quantitative bound for Tier 3."
4,Carr & Rees 1979,alpha_G,two-sided,5.9e-45,5.9e-36,5.9e-39,"α_G ∈ [5.9e-45, 5.9e-36] = 10⁻⁶× to 10³× observed",Galaxies exist AND stable stars exist,2,OaA,"Analytic scaling: Jeans mass, cooling time, Chandrasekhar mass",Moderate,"19 (Adams 2019: narrower bound with modern models)","Very wide range; ∼10⁹ span"
