edge,child,parent,child_requires,parent_provides,legitimate,sufficient,sufficiency_verdict,reason,hidden_compression,candidate_correction,ba1_relevance
CD1 → OC1,Causal relations exist (CD1),Stable structure (OC1),Relata with stable identity that can serve as causes and effects.,The phenomenon has stable entities and relations.,True,True,SUFFICIENT,Causal relata require at least momentary stability to participate in causal relations. OC1 provides the framework of stable elements. The mapping is direct: structure → entities → causal relata.,None — direct dependency.,None needed.,NONE
CD1 → OC2,Causal relations exist (CD1),Distinguishability (OC2),Cause distinguishable from effect; relata distinguishable from each other.,The general capacity to distinguish entities.,True,True,SUFFICIENT,"Without distinguishability, cause and effect collapse into identity. OC2 provides the precondition for any relation between distinct relata. Direct mapping.",None — direct dependency.,None needed.,NONE
CD2 → CD1,Self-affecting procedures (CD2),Causal relations exist (CD1),A framework for effects — something that makes 'affecting' coherent.,Causal relations as the mechanism by which effects occur.,True,True,SUFFICIENT,"'Affecting' IS a causal concept. Self-affecting requires causality to be coherent. CD1 provides causality. Without CD1, CD2 would be magic. Direct mapping.",None — direct causal dependency.,None needed.,NONE
CD2 → EC1,Self-affecting procedures (CD2),Self-knowledge (EC1),Detection of the effect — awareness that a self-effect has occurred.,"Knowledge of the investigation's state, enabling before/after comparison.",True,True,SUFFICIENT,"An undetected self-effect is operationally irrelevant. EC1 supplies the detection mechanism — the investigation knows its state before and after the effect, making the effect meaningful. Without EC1, the effect would occur but be unknowable.",None — direct operational dependency.,None needed.,NONE
CD2 → IS1,Self-affecting procedures (CD2),Phase structure (IS1),A state to be affected — something that can receive the effect.,The investigation as having states that can be affected.,True,True,SUFFICIENT,"An effect on the investigation requires the investigation to have a state that changes. IS1 provides the concept of investigative states. Like EC1→IS1, this works under the weaker reading.",None — direct under weaker reading.,None needed.,NONE
EC1 → IS1,Self-knowledge (EC1),Phase structure (IS1),The investigation has states that can be known.,The investigation as having identifiable states or phases.,True,True,SUFFICIENT,"Self-knowledge requires that the investigation HAS states (to know them). IS1 provides the concept of the investigation having states. The weaker reading of IS1 ('has states', not 'has multiple stages') suffices here. This edge was flagged as BORDERLINE in T065 but is sufficient under the weaker reading maintained by the corrected substrate.",None — direct under weaker reading.,None needed — depends on consistent IS1 interpretation.,"LOW — if IS1 reading is too strong, a state-concept assumption could substitute."
EC1 → IS2,Self-knowledge (EC1),Determinate outputs (IS2),Content for self-knowledge — something to know about.,Determinate outputs as objects of self-knowledge.,True,True,SUFFICIENT,"Self-knowledge requires content (state + outputs). IS2 supplies the output component. Without it, self-knowledge would only have state information, which is incomplete per EC1's definition.",None — direct content dependency.,None needed.,NONE
EC1 → SR1,Self-knowledge (EC1),Self-examination of outputs (SR1),A mechanism for acquiring knowledge about the investigation's state and outputs.,The act of examining the investigation's own outputs.,True,True,SUFFICIENT,"Self-knowledge requires a method. SR1 provides the method — examining one's own outputs. Without SR1, EC1 would be claiming knowledge without specifying how it is acquired. The mapping from 'examination' to 'knowledge via examination' is direct.",None — direct epistemic dependency.,None needed.,NONE
IC1 → IS1,Extractable information (IC1),Phase structure (IS1),Information extraction occurs through a process with stages.,The investigation has identifiable phases or states.,True,True,SUFFICIENT,"Information extraction IS a process: it involves access, capture, and interpretation. IS1 provides the concept of a structured process with stages. The dependency is direct: extraction requires temporal or procedural structure, which IS1 supplies.",None — direct dependency under weaker IS1 reading.,None needed.,NONE
IC1 → OC1,Extractable information (IC1),Stable structure (OC1),There is information about the phenomenon that can be extracted.,The phenomenon has structure — something stable to inform about.,True,True,SUFFICIENT,"Information must be about something. OC1 provides the 'something' — a structured phenomenon that can bear information. Without OC1, information would be about nothing (which is incoherent). The mapping from 'structured phenomenon' to 'potential information carrier' is direct.",None — legitimate direct dependency.,None needed.,NONE
