phase,statement,category,confidence,evidence
T037,Geometry score = 0.69 across 1200 universes,A,high,Direct measurement from detector output.
T037,Composition score = 0.0 across all universes,A,high,Direct measurement from detector output.
T037,Recurrence detected in 98.3% of universes,A,high,Direct measurement from detector output.
T037,Geometry emerges from interaction,D,low,Detector artifact identified in T044.
T037,Distinction requires no prerequisites,D,low,Contradicted by T038/T039 circular dependency analysis.
T038,Distinction emerged in 995/1000 universes,A,high,Direct measurement from detector output.
T038,Persistence emerged in 0/1000 universes,A,high,Direct measurement from detector output.
T038,Distinction can emerge from pure Ω,D,low,Detector smuggled distinction (T039 audit).
T039,28 assumptions cataloged,A,high,Direct enumeration of conceptual inventory.
T039,34 dependency edges identified,A,high,Direct graph construction from specification.
T039,12 circular dependency chains found,A,high,Direct graph analysis.
T039,Distinction is foundational,E,low,"Based on authored dependency graph, not measured. T048 shows graph was specified, not discovered."
T039,Distinction cannot be produced from non-distinction,C,medium,"True within the authored dependency graph, but graph may be incomplete."
T040,10/10 candidate substrates failed,A,high,Direct test of each candidate.
T040,Every candidate reintroduces distinction,B,medium,Inference from 10 test failures. May miss candidates not tested.
T040,Nothing exists below distinction,D,low,Only 10 candidates tested. Universe of possible candidates is larger.
T041,0/5000 universes produce distinction,A,high,Direct measurement with strict 4-criterion detector.
T041,Distinction never emerges from interaction,B,medium,Inference from 5000-universe sample. Detector assumptions may contaminate.
T041,Proto-geometry emerges in 85.8% of universes,A,high,"Direct measurement, but detector may be artifact (T044)."
T042,Trajectory bundles appear in 64.7% of universes,A,high,Direct measurement with proximity detectors.
T042,Proximity precedes distinction,B,medium,Inferred from timing of detector firings. Detectors may be contaminated.
T042,The first stable structure is trajectory bundles,D,low,Based on contaminated detectors (T047 audit).
T043,"101,414 detector events recorded",A,high,"Direct measurement from 10,000 universes."
T043,Recurrence fires first (98.3%),A,high,Direct measurement with specific detector.
T043,73 edges in emergence graph (P>0.95),A,high,Direct computation from pairwise order probabilities.
T043,Recurrence is the first emergent structure,D,low,KILLED in T044 (artifact of boundedness).
T044,Recurrence kills in recursive vs nonrecursive test,A,high,Direct comparison with effect size and permutation test.
T044,Recurrence is an artifact of bounded state spaces,B,medium,"Inference from T044 test D (effect=0, p=1.0)."
T045,Convergence rate = 0.995 in real universes,A,high,Direct measurement with 5 independent detectors.
T045,Convergence beats all null models (14× effect),A,high,"Direct comparison with random walk, Brownian, OU models."
T045,Convergence survives temporal shuffling,A,high,Direct comparison with shuffled trajectories.
T045,Convergence is genuine,D,low,"Detector assumes distance, arithmetic, comparison (T047 audit)."
T046,Convergence before constraint (7/8 detectors),A,high,Direct pairwise order computation.
T046,Convergence is fundamental,D,low,Detector assumptions contaminate (T047 audit).
T047,All detectors smuggle hidden primitives,A,high,Direct audit of detector implementations.
T047,No primitive is currently accepted,B,high,Inference from universal contamination of detectors.
T048,45 detectors cataloged,A,high,Direct inventory.
T048,63 dependency edges identified,A,high,Direct graph construction.
T048,"Every detector imports comparison, arithmetic, distance",A,high,Direct audit of all 45 detector implementations.
T048,Distance is the deepest imported primitive,C,medium,Based on authored prerequisite graph. Graph may be incomplete.
T048,No detector can discover distinction,B,medium,Inference from contamination analysis. True within current detector families.
T049,Observation fails when comparison is removed,C,medium,"True for observer MODELS, not proven for observation itself."
T049,Observation fails when ordering is removed,C,medium,"True for observer MODELS, not proven for observation itself."
T049,Observation fails when identity is removed,C,medium,"True for observer MODELS, not proven for observation itself."
T049,Observation fails when difference is removed,C,medium,"True for observer MODELS, not proven for observation itself."
T049,Observation fails when distinction is removed,C,medium,"True for observer MODELS, not proven for observation itself."
T049,All five primitives are necessary for observation,D,low,"Only proven for models, not for observation itself (T050 correction)."
T050,All 5 primitives are proven necessary for observer models,A,high,Direct proof from T049 model analysis.
T050,No primitive is proven necessary for observation itself,A,high,Direct proof from T050 separation analysis.
T050,The gap between model requirements and observation requirements cannot be closed,B,high,Inference from T050 separation analysis.
T050,We know what models need but not what observation needs,B,high,Direct conclusion from T050 proof inventory.
