detector_id,claimed_target,math_ops,logical_ops,hidden_assumptions,prerequisite_concepts
T037_distinction_clustering,distinction,"silhouette_score, linkage, fcluster, pdist","comparison, sorting, grouping",states exist as vectors; pairwise distances can be computed; clusters can be formed; silhouette score is meaningful,"distance, comparison, grouping, sorting"
T037_persistence,persistence,"np.std, np.mean, subtraction","comparison, repetition",states have numeric values; standard deviation is defined; repetition can be detected,"arithmetic, comparison, repetition"
T037_composition,composition,"set difference, len","set membership, inequality",states can be represented as sets; set difference is defined,"set, membership, inequality"
T037_geometry,geometry,"histogram, KL_divergence, row_normalization","comparison, normalization",transition matrices can be constructed; histograms are meaningful; KL divergence is defined,"probability, entropy, comparison"
T037_dimension,dimension,"polyfit, log, eigvalsh",comparison,logarithm is defined; polynomial fitting is meaningful; eigenvalues exist,"arithmetic, ordering, linearity"
T041_persistence,persistence,"silhouette_score, linkage, fcluster, pdist","comparison, grouping",distance; clustering; comparison,"distance, comparison, grouping"
T041_separability,separability,"linkage, fcluster, pdist, mean","comparison, grouping",distance; clustering; arithmetic,"distance, arithmetic, grouping"
T041_stability,stability,"np.linalg.norm, perturbation, comparison","comparison, tolerance",distance; perturbation is meaningful,"distance, comparison"
T042_bundling,bundling,"np.mean, np.linalg.norm, subtraction",comparison,centroid exists; distance from centroid is defined,"arithmetic, distance"
T042_constraint_formation,constraint,"np.cov, eigvalsh, division",comparison,covariance is defined; eigenvalues exist,"arithmetic, linearity, ordering"
T042_neighborhood,neighborhood,"pdist, squareform, correlation",comparison,distance matrices exist; correlation is meaningful,"distance, arithmetic, comparison"
T043_possibility_reduction,possibility reduction,"np.prod, subtraction, division",comparison,volume is defined; product is meaningful,"arithmetic, ordering, comparison"
T043_trajectory_convergence,convergence,"np.mean, np.linalg.norm, subtraction, division",comparison,centroid exists; distance is defined,"arithmetic, distance, comparison"
T043_trajectory_divergence,divergence,"np.linalg.norm, subtraction",comparison,distance is defined,"distance, comparison"
T043_recurrence,recurrence,np.linalg.norm,comparison,distance is defined; threshold exists,"distance, comparison"
T043_invariant_transitions,invariant transitions,"np.std, np.mean, division",comparison,cv is meaningful,"arithmetic, comparison"
T043_forbidden_transitions,forbidden transitions,"np.histogram, np.sum","comparison, membership",bins exist; counts are meaningful,"arithmetic, ordering, grouping"
T043_neighborhood_stability,neighborhood stability,"pdist, squareform, correlation",comparison,distance correlation is meaningful,"distance, arithmetic, comparison"
T043_compression,compression,"np.cov, eigvalsh, division",comparison,effective dimensionality is defined,"arithmetic, linearity, ordering"
T043_symmetry,symmetry,"np.linalg.norm, np.std, division",comparison,mirror symmetry can be detected,"distance, arithmetic, comparison"
T043_closure,closure,np.linalg.norm,comparison,return to start can be detected,"distance, comparison"
T043_composition,composition,np.allclose,"comparison, equality",subsequence matching is meaningful,"distance, comparison, equality"
T043_hierarchy,hierarchy,np.linalg.norm,"comparison, ordering",multi-scale structure can be detected,"distance, arithmetic, ordering"
T043_self_reference,self-reference,np.linalg.norm,comparison,return to previous state detectable,"distance, comparison"
T043_scale_invariance,scale invariance,"polyfit, log, r2_score",comparison,power law can be detected,"arithmetic, ordering, comparison"
T043_repeatability,repeatability,"np.std, np.mean, division",comparison,cv measures determinism,"arithmetic, comparison"
T043_separability,separability,"linkage, fcluster, pdist, mean","comparison, grouping",cluster separation is measurable,"distance, arithmetic, grouping"
T043_boundary_formation,boundary formation,"pdist, np.histogram",comparison,distance gaps indicate boundaries,"distance, arithmetic, grouping"
T043_distance_structure,distance structure,"pdist, np.histogram, entropy",comparison,distance entropy is meaningful,"distance, entropy, arithmetic"
T044_exact_revisit,recurrence,np.linalg.norm,comparison,exact revisit detectable,"distance, comparison, equality"
T044_epsilon_revisit,recurrence,np.linalg.norm,comparison,epsilon threshold meaningful,"distance, comparison"
T044_topological_recurrence,recurrence,"pdist, squareform, np.median",comparison,median distance is meaningful,"distance, arithmetic, comparison"
T044_nn_recurrence,recurrence,"np.linalg.norm, argmin","comparison, minimization",nearest neighbor is defined,"distance, comparison, ordering"
T044_rqa_recurrence,recurrence,"pdist, squareform, np.percentile, np.sum",comparison,recurrence plot is meaningful,"distance, arithmetic, comparison"
T045_pairwise_contraction,convergence,"np.mean, np.linalg.norm, subtraction, division",comparison,contraction ratio is meaningful,"arithmetic, distance, comparison"
T045_basin_attraction,basin attraction,"np.mean, np.linalg.norm, np.std",comparison,rolling centroid is meaningful,"arithmetic, distance, comparison"
T045_entropy_collapse,entropy collapse,"np.histogramdd, entropy",comparison,histogram entropy measures constraint,"entropy, arithmetic, comparison"
T045_trajectory_clustering,clustering,"linkage, fcluster, pdist, mean","comparison, grouping",cluster compactness is measurable,"distance, arithmetic, grouping"
T045_lyapunov_contraction,contraction,"np.linalg.norm, np.log",comparison,Lyapunov exponent is defined,"distance, arithmetic, logarithm"
T046_state_growth_rate,constraint,"np.mean, subtraction, division",comparison,range is meaningful,"arithmetic, comparison"
T046_reachable_state_growth,constraint,"np.histogramdd, np.sum",comparison,state counting is meaningful,"arithmetic, grouping, comparison"
T046_entropy_growth,constraint,"np.histogramdd, entropy",comparison,entropy measures possibility,"entropy, arithmetic, comparison"
T046_transition_freedom,constraint,"np.std, np.mean, division",comparison,cv of transitions is meaningful,"arithmetic, comparison"
T046_possibility_elimination,constraint,"pdist, np.mean",comparison,next-state spread is meaningful,"distance, arithmetic, comparison"
T046_constraint_persistence,constraint,"np.percentile, np.any, np.sum","comparison, membership",percentile bounds define constraints,"arithmetic, ordering, comparison"
