class_A,class_B,shared_predictions,different_predictions,possible_discriminator,notes
M01,M02,0,8,Vary system expressive power: M01 predicts circularity depth correlates with expressiveness; M02 predicts same convergence regardless.,"Both predict circularity, but M01 attributes it to self-reference limits and M02 to mathematical convergence. M01 is domain-independent; M02 is procedure-dependent."
M01,M03,0,8,Change method: M01 predicts any method within the system hits the same wall; M03 predicts different methods give different results.,Fundamentally different: M01 says the system cannot avoid recursion; M03 says the method imposes it. Clear experimental separation possible.
M01,M04,0,8,Vary observer stance: M01 predicts all stances within the system hit circularity; M04 predicts different stances produce different recursion.,Related: both involve the relationship between investigator and investigated. M01 emphasizes system limits; M04 emphasizes inseparability.
M01,M05,0,8,Introduce new information source: M05 predicts this breaks the recursion; M01 predicts the limitation is inherent regardless.,Different causal mechanisms: M01 = self-reference bound; M05 = information bound. May produce similar surface behavior.
M01,M06,0,8,Apply large perturbation: M06 predicts possible escape; M01 predicts escape requires external reference (not same as perturbation).,Different emphasis: M01 = structural limit; M06 = dynamical trap. Potentially compatible descriptions of same situation at different levels.
M01,M07,0,8,Reformulate question at different level: M07 predicts recursion disappears; M01 predicts recursion reappears at new level if system remains self-referential.,"M01 and M07 share the idea that recursion is a symptom, not the phenomenon. M01 says the system is limited; M07 says the question is wrong."
M01,M08,0,8,"Evaluate whether the recursion produces new information (M01: yes, generative frustration) vs is stable and complete (M08). Scale-invariance test.",Directly opposed: M01 says recursion is failure; M08 says it is success. Cannot both be correct in same sense.
M02,M03,0,8,Change method while holding operation properties fixed: M03 predicts different result; M02 predicts new fixed point for new operation.,Close cousins: M02 emphasizes mathematical necessity of convergence; M03 emphasizes contingency of method choice. Could collapse if method choice is shown to be forced.
M02,M04,0,8,Vary observer relationship: M02 predicts convergence independent of observer; M04 predicts result changes with observer.,Potentially compatible: M02 describes procedure behavior; M04 describes observer relation. M04 predicts M02's operation is observer-dependent.
M02,M05,0,8,Introduce new information sources: M05 predicts new structure; M02 predicts same fixed point regardless.,Different mechanisms: M02 = guaranteed convergence; M05 = information depletion. Same surface (all candidates collapse) but different cause.
M02,M06,0,8,Check trajectory behavior after convergence: M02 predicts stable rest; M06 predicts ongoing cycling around attractor.,Different dynamic predictions: M02 converges to rest; M06 cycles. Distinguishable by trajectory shape over extended phases.
M02,M07,0,8,Reformulate question: M07 predicts recursion disappears; M02 predicts procedure finds a fixed point of the new operation.,M02 says the procedure does what procedures do (find fixed points); M07 says the procedure shouldn't be doing this at all.
M02,M08,0,8,Check informativeness of result: M02 sees recursion as convergent limit (procedure exhausted its utility); M08 sees it as complete discovery.,Different evaluation of same formal fact: M02 says procedure exhausted; M08 says procedure succeeded.
M03,M04,0,8,"Hold method fixed, vary observer stance: M03 predicts same result (method determines); M04 predicts different result (observer matters).",Strong overlap: both say the result depends on how you approach the target. M03 emphasizes method design; M04 emphasizes observer position.
M03,M05,0,8,Introduce new information without changing method: M05 predicts new structure; M03 predicts same method-dependent result.,Different intervention predictions: M03 says change method; M05 says find new data. Could be distinguished by which intervention changes the result.
M03,M06,0,8,Apply small perturbations: M03 predicts method still determines result; M06 predicts return to same attractor. Vary method: M03 predicts different results; M06 predicts same attractor.,M03 predicts method change changes everything; M06 predicts small method changes are absorbed. Distinguishable by perturbation size effect.
M03,M07,0,8,Change method within same framework vs change framework: M07 requires framework change; M03 predicts method change within framework suffices.,M03 allows escape by method refinement within framework; M07 requires framework change. Distinguishable by depth of change needed.
M03,M08,0,8,Method-independence test: M03 predicts result depends on method choice; M08 predicts recursion is method-independent (it IS the phenomenon).,M03 sees recursion as contingent on method; M08 sees it as necessary. Directly opposed.
M04,M05,0,8,Introduce new information sources: M05 predicts new structure; M04 predicts observer relation still colors any new information.,Compatible in principle: observer relation determines what counts as information. Distinguishable by what intervention resolves recursion.
M04,M06,0,8,Change observer stance vs perturb dynamics: M04 predicts stance change (even small) changes result; M06 predicts small perturbations are absorbed by attractor.,M04 predicts observer stance change (potentially small) changes result; M06 predicts small changes are absorbed. Directly testable.
M04,M07,0,8,Change observer stance vs reformulate question: M04 predicts stance change suffices; M07 predicts deeper category-level change needed.,Both involve 'changing perspective' but at different levels: observer stance vs conceptual framework. Potentially nested.
M04,M08,0,8,Vary observer: M04 predicts recursion changes with observer; M08 predicts recursion is invariant (it IS the phenomenon).,Opposed: M04 says recursion is observer-relative; M08 says it is invariant. Directly testable by varying observer.
M05,M06,0,8,Introduce new information: M05 predicts this changes result; M06 predicts new info within basin is absorbed by attractor.,Different mechanisms: information depletion vs dynamical entrapment. Same surface (all look same). Distinguishable by whether new info changes result.
M05,M07,0,8,Introduce new information vs new framework: M05 predicts new info from any source suffices; M07 predicts framework change needed (new info within same framework insufficient).,Different: M05 says new info (any source) suffices; M07 says framework change needed. New info within same framework distinguishes them.
M05,M08,0,8,New information test: M05 predicts recursion is artifact of depletion; M08 predicts recursion persists even with new information.,Opposed on whether recursion is artifact or essence. Test: does new information produce non-recursive structure?
M06,M07,0,8,Perturb dynamics vs reformulate question: M06 predicts large dynamic perturbation escapes; M07 predicts framework change escapes (dynamic perturbation may not suffice).,Both predict escape is possible but via different routes (dynamic perturbation vs framework change). Distinguishable by which works.
M06,M08,0,8,Check whether recursion is stable and informative (M08) vs a trap preventing progress (M06). Scale-invariance test.,Opposed: M06 says recursion is a trap to escape; M08 says it is the found phenomenon. Normative tension.
M07,M08,0,8,Reformulate question: M07 predicts recursion disappears with correct framing; M08 predicts recursion persists as it IS the phenomenon.,Directly opposed on whether recursion is a symptom of error (M07) or the correct answer (M08). Most fundamental split in the landscape.
