candidate,description,claim,test
pure_potential,Possibility without actuality. Ω exists as 'could happen' without 'does happen'.,Potential is prior to actuality. Distinction requires actual states.,Can 'potential' be stated without distinguishing it from 'actual'?
undifferentiated_field,A single undifferentiated 'stuff' with no internal structure.,The field has no parts. Distinction requires parts.,Can 'field' be identified without distinguishing it from 'non-field'?
unlabeled_process,"Change occurs without any labels, categories, or names.",Process is prior to substance. Change doesn't require categories.,Can 'change' be detected without comparing states (which requires distinction)?
self_application,Ω(Ω) — the operator applied to itself. No external objects needed.,Self-application is self-contained. No distinction between 'applied' and 'applying'.,Does Ω(Ω) require distinguishing Ω from its application?
recursive_possibility,The possibility of possibility. Ω(Ω(Ω(...))).,Possibility nests without requiring actuality or distinction.,Does nesting require distinguishing levels?
null_operator,Ω(x) = x for all x. The identity operation.,The null operator does nothing. No distinction needed.,Does 'nothing changes' require distinguishing 'before' from 'after'?
interaction_only,Only 'there is interaction' — no specification of what interacts.,Interaction is primitive. No objects needed.,Does 'interaction' require distinguishing the interactants?
pure_difference,Not 'A differs from B' but just 'there is difference' as primitive.,Difference is prior to identity. You can have difference without knowing what differs.,Can 'difference' exist without 'sameness' (which requires identity)?
temporal_flux,Becoming without being. Constant change without stable states.,Heraclitean flux. No stability = no distinction.,Can 'change' be defined without a 'before' and 'after' (which requires distinction)?
monadic_self,A single entity that is only itself. No 'other' exists.,One thing cannot be distinguished from itself. No distinction possible.,Does 'one thing' require distinguishing it from 'zero things' or 'two things'?
