assumption_id,domain,statement,is_fundamental,note,required_by,rejected_by,neutral_for
CD1,causal,"Causal, dependency, or explanatory relationships exist between elements of the phenomenon.",True,"Without causality or dependency, no class can attribute recursion to any cause. All 8 classes depend on there being something that connects observations.",M01;M02;M03;M04;M05;M06;M07;M08,,
CD2,causal,The investigation's procedures produce effects on the investigation itself or its object.,True,"The audit chain exists because each phase affects the next. Without this, no class can explain why the investigation follows the trajectory it does.",M01;M02;M03;M04;M05;M06;M07;M08,,
CD3,causal,Some explanations are better than others — there is a basis for preferring one account.,False,"Required to formulate explanations at all. If no account is better than any other, the 8 classes are indistinguishable by any metric.",M03;M08,,M01;M02;M04;M05;M06;M07
CT1,closure,The investigation can in principle reach a stopping point or recognize when further investigation is unproductive.,False,"Required by M01, M02, M05 (recognition of limit). Denied implicitly by M06 (can't escape attractor), reinterpreted by M08 (stopping = recognizing recursion as answer).",M01;M02;M05;M07,M03;M06;M08,M04
CT2,closure,External reference is in principle possible — something exists outside the investigation's current frame.,False,"Required by M01 (external framework), M05 (new data), M06 (external perturbation). Denied by M08. Irrelevant to M07 (question is about framing, not external reference).",M01;M05;M06,M03;M04;M07;M08,M02
EC1,epistemic,The investigation can have knowledge about its own state and outputs.,True,"Without self-knowledge, no phase-aware analysis is possible. Required by all classes that reference prior phases, recursion detection, or convergence.",M01;M02;M03;M04;M05;M06;M07;M08,,
EC2,epistemic,The investigation can know when it has reached a limit of its current method or framework.,False,Required explicitly by M07 (diagnosing malformation). Also required by M01 (knowing circularity is unresolvable) and M05 (knowing information bound reached).,M01;M05;M07,,M02;M03;M04;M06;M08
EC3,epistemic,The investigation can distinguish between different causal explanations that fit the same observations.,False,"Required to formulate any of the 8 classes as distinct explanations. Without this, all classes collapse into 'something recursive happens.'",M02;M03;M04;M07;M08,,M01;M05;M06
EC4,epistemic,The investigation can communicate its results and compare them across different formulations.,False,Required for cross-class comparison (T060). Enables M03 (comparing methods) and M04 (comparing observer stances).,M03;M04,,M01;M02;M05;M06;M07;M08
IC1,informational,There is information about the phenomenon that the investigation can extract and process.,True,"Cornerstone assumption. Without extractable information, the investigation has no raw material. All classes require this.",M01;M02;M03;M04;M05;M06;M07;M08,,
IC2,informational,The available information about the phenomenon is finite.,False,Required explicitly by M05 (information exhausted). Assumed by M01 (finite system) and M02 (finite computation).,M01;M02;M05,,M03;M04;M06;M07;M08
IC3,informational,"Processing information can change it — information can be lost, transformed, or degraded.",False,Required by M05 (processing consumes information). Also required by M04 (observation changes the observed) and M06 (dynamics transform state).,M04;M05;M06,,M01;M02;M03;M07;M08
IS1,investigation_structure,"The investigation is a process with identifiable stages, phases, or states.",True,"Without phase structure, there is no trajectory to analyze. All 8 classes depend on this.",M01;M02;M03;M04;M05;M06;M07;M08,,
IS2,investigation_structure,The investigation produces determinate results — outputs that can be compared across phases.,True,"If results were random or incomparable, no pattern (recursive or otherwise) could be detected.",M01;M02;M03;M04;M05;M06;M07;M08,,
IS3,investigation_structure,"The investigation's trajectory can be represented abstractly (state space, sequence, graph).",False,"Enables M02, M06. Not strictly required for M03, M07, M08 but implicitly used in their formulation.",M02;M06,,M01;M03;M04;M05;M07;M08
MC1,methodological,Multiple legitimate methods or approaches exist for investigating the phenomenon.,False,"Required by M03 (method choice matters). Assumed by M07 (alternative framings exist). Not required by M01 or M08 (which treat recursion as necessary, not contingent on method).",M03;M07,M02,M01;M04;M05;M06;M08
MC2,methodological,The choice of method constrains or shapes what can be discovered.,False,Shared by M03 (method determines) and M04 (observer determines). Also implicitly required by M07 (framing determines what recursion looks like).,M03,M02,M01;M04;M05;M06;M07;M08
MC3,methodological,"Methodological choices can be changed, and their effects observed.",False,"Required for any experimental discrimination between classes. Without this, no class can be tested against another.",M03;M04,M02,M01;M05;M06;M07;M08
OC1,ontological,The phenomenon under study has some stable structure — it is not pure randomness or noise.,True,"Without structure, no explanation of any kind is possible. All 8 classes presuppose something to explain.",M01;M02;M03;M04;M05;M06;M07;M08,,
OC2,ontological,The phenomenon and the investigation of it are distinguishable (even if inseparable in practice).,True,"Even M04 (inseparability) must distinguish observer from target to then assert their inseparability. Without this distinction, no class can formulate its explanation.",M01;M02;M03;M04;M05;M06;M07;M08,,
OC3,ontological,There exists an inside/outside boundary relative to the investigative system.,False,"M01 requires this (inside = system, outside = external reference). M06 requires this (inside = attractor, outside = beyond basin). M08 denies this (everything is inside the recursion).",M01;M06,M04;M08,M02;M03;M05;M07
OC4,ontological,The target has properties that are not entirely constituted by the investigation of it.,False,"Assumed by M01, M02, M05, M06. Denied or weakened by M03, M04, M07, M08.",M01;M02;M05,M03;M04;M07;M08,M06
SR1,self_reference,The investigation can examine its own outputs as objects of analysis.,True,"Foundational enabler of the entire audit chain. Without this, no phase can use a previous phase's output as input.",M01;M02;M03;M04;M05;M06;M07;M08,,
SR2,self_reference,The investigation can reflect on its own procedures and methods.,False,Stronger than SR1 — not just examining outputs but examining how those outputs were produced.,M01;M02;M03;M04;M05;M06;M07,,M08
SR3,self_reference,The investigation can detect recurrence — whether it has been in its current state before.,False,"Required to recognize that recursion is happening. Without this, each phase appears novel.",M01;M04;M05;M06;M07;M08,,M02;M03
